"id_arbol","direccion","tipo_vereda","lado_vereda","especie","tipo_tendido","distancia_entre_ar","distancia_al_muro","activo","lng","lat"
9099,Av. Costanera Gral. San Martín 100,Mediana,Par,Falso paraiso,Alta tensión (Con Protección),10.0,0.0,true,-58.8496832545779895,-27.4660253791469984
9100,Av. Costanera Gral. San Martín 100,Mediana,Par,Fresno,Alta tensión (Con Protección),10.0,0.0,true,-58.849755907575009,-27.4660171521230012
9101,Av. Costanera Gral. San Martín 100,Mediana,Par,Pata de Buey,Alta tensión (Con Protección),6.0,0.0,true,-58.8497972454529972,-27.4660093683699991
9102,Av. Costanera Gral. San Martín,Mediana,Par,Pata de Buey,Alta tensión (Con Protección),3.0,0.0,true,-58.8498316084809971,-27.4660046676719993
9103,Av. Costanera Gral. San Martín,Mediana,Par,Braquiquito,Alta tensión (Con Protección),4.0,0.0,true,-58.8498662076680006,-27.4660002713220024
9104,Av. Costanera Gral. San Martín,Mediana,Par,Tipa Colorada,Alta tensión (Con Protección),4.0,0.0,true,-58.8499007641920002,-27.4659993153109987
9105,Av. Costanera Gral. San Martín,Mediana,Par,Jacarandá,Alta tensión (Con Protección),10.0,0.0,true,-58.8499401811549987,-27.4659255240250033
9106,Av. Costanera Gral. San Martín,Mediana,Par,Lapacho,Alta tensión (Con Protección),4.0,0.0,true,-58.8500252848980097,-27.4659126652040015
9107,Av. Costanera Gral. San Martín,Mediana,Par,Lapacho,Alta tensión (Con Protección),13.0,0.0,true,-58.850075889182996,-27.4659085203749989
9108,Av. Costanera Gral. San Martín,Mediana,Par,Palmera,Alta tensión (Con Protección),4.0,0.0,true,-58.8502087377599992,-27.465862313384001
9109,Av. Costanera Gral. San Martín,Mediana,Par,Palmera,Alta tensión (Con Protección),8.0,0.0,true,-58.850542744499009,-27.4658416488720007
9110,Av. Costanera Gral. San Martín,Mediana,Par,Jacarandá,Alta tensión (Con Protección),12.0,0.0,true,-58.8506830219799966,-27.4658122871800003
9111,Av. Costanera Gral. San Martín,Mediana,Par,Fresno,Alta tensión (Con Protección),10.0,0.0,true,-58.8501753776520005,-27.4660014975110016
9112,Av. Costanera Gral. San Martín,Mediana,Par,Lapacho,Alta tensión (Con Protección),4.0,0.0,true,-58.850255201395008,-27.4659991139060011
9113,Av. Costanera Gral. San Martín,Mediana,Par,Jacarandá,Alta tensión (Con Protección),8.0,0.0,true,-58.8504363094180079,-27.4660137571500016
9114,Av. Costanera Gral. San Martín,Mediana,Par,Braquiquito,Alta tensión (Con Protección),4.0,0.0,true,-58.8505097489680011,-27.4660235629720049
9115,Av. Costanera Gral. San Martín,Mediana,Par,Pata de Buey,Alta tensión (Con Protección),8.0,0.0,true,-58.8505852610079998,-27.4660390679200042
9116,Av. Costanera,Grande,Par,Lapacho rosado,Ninguno,8.0,0.0,true,-58.8402077136209982,-27.4613906222900006
9117,Av. Costanera,Grande,Impar,Chivato,Ninguno,4.0,0.0,true,-58.8402120769669992,-27.4614566378530043
9118,Av. Costanera,Grande,Par,Lapacho,Ninguno,9.0,0.0,true,-58.8403025435470042,-27.4613728275719993
9119,Av. Costanera,Chica,Par,Mirto,Alta tensión (Con Protección),2.0,0.0,true,-58.840271289735,-27.4613789718399985
9120,Puerto,Grande,Par,Coquito de San Juan,Ninguno,10.0,0.0,true,-58.8376981090649949,-27.4616767886710029
9121,Av. Costanera,Chica,Par,Mirto,Ninguno,1.0,0.0,true,-58.8402386930570032,-27.4613834590769983
9122,Av. Costanera,Chica,Impar,Lapacho rosado,Ninguno,7.0,0.0,true,-58.8402751782360056,-27.461449722807
9123,Puerto,Grande,Par,Palmera,Ninguno,14.0,0.0,true,-58.837696427163003,-27.4616503915930004
9124,Av. Costanera,Grande,Impar,Ibirá Pitá,Ninguno,15.0,0.0,true,-58.8403445443450011,-27.4614384536520006
9125,Puerto,Grande,Par,Jazmín magno,Alta tensión (Con Protección),4.5,0.0,true,-58.8377619935319984,-27.4616435149230007
9126,Av. Costanera,Grande,Impar,Lapacho rosado,Ninguno,7.0,0.0,true,-58.8404375473960073,-27.4614258695939988
9127,"9 de julio 602",Mediana,Par,Fresno,Media Tensión (Con Protección),4.0,3.0,true,-58.8427375433840041,-27.4659241104350009
9128,Puerto,Chica,Par,Palo Borracho,Ninguno,5.0,0.0,true,-58.8377729442090001,-27.461671260439001
9129,Av. Costanera,Grande,Impar,Lapacho rosado,Ninguno,9.0,0.0,true,-58.8404315779539999,-27.4613547205720003
9130,puerto,Grande,Par,Mango,Ninguno,7.0,0.0,true,-58.8377265891989936,-27.4616766009820026
9131,Av. Costanera,Grande,Impar,Lapacho rosado,Ninguno,7.0,2.5,true,-58.840497657254005,-27.4613434863709998
9132,puerto,Grande,Par,Chivato,Ninguno,24.0,0.0,true,-58.8377470067029975,-27.4616986481449992
9133,Av. Costanera,Chica,Impar,Thuja,Ninguno,30.0,0.0,true,-58.8405527763230012,-27.461332082773005
9134,Puerto,Grande,Par,Lapacho rosado,Ninguno,10.0,0.0,true,-58.8378545948920078,-27.4616942697360003
9135,Av. Costanera,Chica,Impar,Tecoma Lapachillo,Ninguno,5.0,2.0,true,-58.8405951451940012,-27.4613260701960016
9136,puerto,Grande,Par,Falso paraiso,Ninguno,9.0,0.0,true,-58.837869422488005,-27.4616957990460016
9137,Av. Costanera,Chica,Impar,Tecoma Lapachillo,Ninguno,30.0,2.0,true,-58.8406420647890016,-27.461316852859003
9139,Av. Costanera,Grande,Impar,Ibirá Pitá,Ninguno,6.0,0.0,true,-58.8410180655010038,-27.461389232883004
9138,puerto,Grande,Par,Chivato,Ninguno,4.0,0.0,true,-58.8378678606599976,-27.4616869093819993
